Timestamp,AccX,AccY,AccZ,MagX,MagY,MagZ,GyrX,GyrY,GyrZ,LinAccX,LinAccY,LinAccZ
1698280199938,NaN,NaN,NaN,0.94115275,0.47632694,9.749756,NaN,NaN,NaN,NaN,NaN,NaN
1698280199947,0.9935937,0.4357447,9.7803135,NaN,NaN,NaN,-0.002443461,0.0012217305,-0.0012217305,-0.016759412,-0.019153614,0.05746084
1698280199948,NaN,NaN,NaN,0.94339615,0.4780176,9.749455,NaN,NaN,NaN,NaN,NaN,NaN
1698280199957,0.9624691,0.39983168,9.792285,0.943558,0.47716162,9.749482,0.002443461,-0.010995574,0.0,0.05267244,0.045489833,0.02873042
1698280199967,0.9528923,0.41180268,9.765948,0.9443328,0.47708386,9.749411,NaN,NaN,NaN,0.021547815,0.009576807,0.04070143
1698280199968,NaN,NaN,NaN,NaN,NaN,NaN,-0.0036651916,0.0012217305,0.0,NaN,NaN,NaN
1698280199977,0.93373865,0.35913026,9.758766,NaN,NaN,NaN,NaN,NaN,NaN,0.011971008,0.021547815,0.01436521
1698280199978,NaN,NaN,NaN,0.9466967,0.47710672,9.749181,0.0012217305,-0.0036651916,-0.0012217305,NaN,NaN,NaN
1698280199988,0.90021986,0.41180268,9.785102,NaN,NaN,NaN,NaN,NaN,NaN,-0.011971008,-0.035913024,0.007182605
1698280199987,NaN,NaN,NaN,0.94726855,0.47745553,9.749108,0.0012217305,0.0036651916,0.0,NaN,NaN,NaN
1698280199997,0.9600749,0.3854665,9.799467,NaN,NaN,NaN,0.0,0.0012217305,0.0,-0.045489833,0.01436521,0.033518825
1698280199998,NaN,NaN,NaN,0.9473589,0.47642562,9.749149,NaN,NaN,NaN,NaN,NaN,NaN
1698280200008,1.043872,0.35434186,9.816227,0.9493895,0.47729665,9.748909,NaN,NaN,NaN,NaN,NaN,NaN
1698280200007,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0012217305,0.0,0.011971008,-0.009576807,0.047884032
1698280200017,0.9911995,0.4189853,9.797073,0.9498024,0.47662026,9.748902,NaN,NaN,NaN,NaN,NaN,NaN
1698280200018,NaN,NaN,NaN,NaN,NaN,NaN,-0.002443461,0.004886922,0.0,0.095768064,-0.04070143,0.06464344
1698280200028,0.90500826,0.35434186,9.734824,NaN,NaN,NaN,NaN,NaN,NaN,0.035913024,0.031124622,0.047884032
1698280200027,NaN,NaN,NaN,0.94995415,0.4761185,9.748912,-0.0036651916,0.008552114,0.0,NaN,NaN,NaN
